CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
187,13.38,4.21,25.48,2.546666667,344,3.7,910,1010,1120,1170,1250,1200,1200,1180,4035,93.54,4.67,12.36,23.48,62.44,62.92
187,13.28,5.65,11.7,3.18,509.3333333,3.05,900,1000,1100,1180,1260,1200,1200,1110,12575,92.5,5.32,12.42,23.73,62.67,63.39
187,13.2,4.66,14.08,2.663333333,173,3.7,916.6666667,1020,1120,1170,1250,1200,1206.666667,1170,10300,93.58,4.43,12.24,23.67,62.34,63.02
187,13,3.98,16,2.83,502.3333333,3.5,900,1050,1150,1250,1300,1300,1280,1050,11315,93.11,5.22,11.87,23.92,61.72,62.49
187,13,6.39,19,2.6,494,3.166666667,950,1050,1150,1250,1270,1233.333333,1116.666667,900,9080,93.01,5,11.98,23.44,62.44,63.04
187,12.93,3.91,16,3.01,479,3.233333333,900,1050,1200,1250,1300,1250,1250,910,9205,92.76,5.35,12.16,23.66,62.13,63.27
187,12.89,6.44,14,3.06,513.8333333,3.316666667,926.6666667,1030,1140,1250,1273.333333,1250,1170,880,12570,93.48,4.8,12.25,23.99,62.1,62.74
187,12.27,6.02,12.9,3.15,497,3.2,910,1030,1130,1230,1280,1260,1180,1100,12795,93.49,4.79,12.27,23.54,62.35,63.42
187,12.15,3.99,15,2.94,498.8333333,2.95,900,1033.333333,1113.333333,1230,1280,1280,1250,890,11280,93.17,5.09,12.24,24.1,62.12,63.02
187,12,3.9,14,3.143333333,486.5,3.233333333,900,1030,1130,1230,1280,1280,1250,1023.333333,12040,92.58,5.68,12.3,23.88,61.83,62.96
187,12,4,14,2.7,503,3.4,933.3333333,1043.333333,1133.333333,1236.666667,1280,1260,1166.666667,896.6666667,12005,93.75,4.69,11.96,23.9,61.85,62.71
187,11.81,5.99,15,3.01,505,3.466666667,930,1030,1150,1250,1280,1250,1170,880,12360,93.22,4.87,12.08,23.64,61.79,62.65
187,11.77,3.98,15,3.023333333,485.3333333,3.45,930,1030,1150,1240,1280,1250,1180,896.6666667,12065,93.76,4.35,12.07,23.82,61.8,62.75
187,11.73,3.91,16,2.953333333,491,3.333333333,940,1040,1150,1240,1280,1250,1170,880,12025,93.48,4.85,12.07,23.52,61.87,62.86
187,10.49,6.08,12.77,3.1,509,3.4,920,1050,1150,1240,1260,1280,1260,950,13150,93.33,4.78,12.22,23.14,63.09,64
188,14.97,3.99,14,2.723333333,484.5,3.466666667,850,970,1100,1200,1280,1280,1280,950,11020,93.05,5.26,12.3,23.32,61.81,62.47
188,14.94,3.98,13,3.01,457,3.566666667,900,1000,1100,1200,1280,1280,1280,900,12050,92.95,5.38,12.22,24.29,61.92,62.61
188,14.87,3.97,13,3.103333333,488.1666667,3.433333333,900,1000,1100,1200,1250,1280,1280,900,12105,92.91,5.34,11.9,23.73,61.93,62.59
188,14.27,6.24,11,2.996666667,508.5,2.7,900,1000,1106.666667,1180,1260,1200,1200,1180,12825,93.06,5.39,12.27,23.92,63.05,63.77
