date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
23-Mar,195,12.74,4,,12,2.88,514.5,3.933333333,913.3333333,1016.666667,1120,1200,1260,1280,1200,1183.333333,,12010,92.2,5.5,12.15,23.13,62.44,63.2
12/29/2022,198,14.47,5.97,0,12.44,2.9,505,3.5,900,1000,1100,1150,1260,1280,1150,1183.333333,,12720,93.36,5.07,12.02,23.23,62.87,63.43
12/30/2022,196,14.09,5.43,325,11.56,2.9,507,3.4,900,1000,1100,1150,1260,1280,1150,1183,,12705,93.66,4.78,11.86,22.7,62.69,63.53
6/14/2023,187,13.38,4.21,260,25.48,2.546666667,344,3.7,910,1010,1120,1170,1250,1200,1200,1180,86.71,4035,93.54,4.67,12.36,23.48,62.44,62.92
06-12-2023,189,14.03,5.92,666.6017007,15.58,2.75,450,3.3,910,1010,1120,1170,1240,1220,1200,1180,85.81,6415,93.51,4.4,12.28,24.14,62.02,63.03
5/26/2023,192,11.81,5.54,400,14.42,2.806666667,491.6666667,3.5,900,1000,1120,1170,1260,1200,1200,1180,83.3,11005,92.91,5.11,12.36,24.17,61.91,62.65
5/27/2023,199,13.98,5.81,0,13.76,2.78,498.3333333,3.7,900,1000,1120,1170,1260,1200,1200,1180,83.19,11015,93.53,4.89,12.12,22.71,62.25,62.9
05-12-2023,207,10.78,5.62,0,14.53,2.773333333,463.6666667,3.4,900,990,1140,1170,1260,1200,1200,1180,83.34,11035,93.69,4.49,12.3,22.83,62.42,63.17
07-02-2023,203,12.81,4.03,470,15.9,2.83,476.1666667,3.3,930,1030,1140,1170,1300,1210,1210,1180,84.16,11165,94.01,4.67,12.53,23.5,62.58,63.38
5/29/2023,198,13.5,5.66,0,13.81,2.9,476,3.75,900,1000,1130,1170,1260,1200,1200,1180,82.06,11480,93.52,4.53,12.2,23.83,63,63.84
5/30/2023,198,14.93,5.99,0,13.35,3.2,457.5,3.75,910,1010,1130,1170,1260,1200,1200,1180,81.41,11520,93.46,4.75,12.35,23.78,62.74,63.53
06-01-2023,189,13.89,5.83,617.4190476,13.34,3.143333333,470,3.45,910,1020,1130,1170,1260,1200,1200,1180,86.29,11660,93.5,4.67,12.39,23.21,62.64,63.49
07-03-2023,203,13.45,3.77,480,14.25,2.893333333,493.3333333,3.3,930,1030,1140,1170,1300,1210,1210,1180,84.51,11670,93.98,4.51,12.36,23.22,62.4,63.49
07-04-2023,195,12.87,3.58,380,14.23,2.995,497.5,3.3,930,1030,1140,1170,1290,1210,1210,1180,82.17,11730,93.82,4.56,12.29,23.04,62.05,63.16
7/13/2023,199,11.78,4.04,675,14.41,2.98,480,2.8,930,1030,1140,1170,1300,1210,1210,1180,85.01,11880,93.72,4.57,12.24,23.27,62.19,63.38
7/14/2023,199,11.32,4.02,675,15.58,2.92,490,2.9,930,1030,1140,1170,1300,1210,1210,1180,84.62,11930,93.64,4.55,12.32,23.6,62.19,63.37
8/28/2023,189,11.3,6.03,715.7843537,13.99,3.05,487,3.1,900,1000,1100,1220,1220,1300,1220,1180,84.31,11945,93.77,4.59,12.19,23.84,62.55,63.39
23-Apr,193,14.23,6.32,,13,2.943333333,496,2.7,900,1000,1120,1180,1260,1200,1200,1180,83.09,12020,93.58,4.63,12.03,24.1,62.98,63.71
24-Apr,189,14.3,6.2,489.2678571,12,2.97,477,2.7,900,1000,1120,1180,1260,1200,1200,1180,83.55,12100,93.3,5.09,11.95,24.05,63.06,63.81
22-Apr,193,14.21,6.2,,13,2.846666667,522.3333333,2.933333333,900,1000,1120,1180,1260,1200,1200,1180,85.57,12100,93.7,4.85,12.13,23.7,62.59,63.31
25-Apr,188,14.27,6.24,539,11,2.996666667,508.5,2.7,900,1000,1106.666667,1180,1260,1200,1200,1180,83.58,12825,93.06,5.39,12.27,23.92,63.05,63.77
26-Apr,181,14.29,6.29,500,12,2.996666667,514,2.8,900,1000,1100,1260,1200,1200,1180,1180,75.02,12875,93.5,4.82,12.5,23.56,62.94,63.82
27-Apr,183,12.09,6.24,600,12,3.06,507,2.9,900,1000,1100,1180,1260,1200,1200,1180,84.06,12990,93.52,4.71,12.31,23.63,62.89,63.64
7/27/2023,201,15.56,3.98,650,13.95,2.813333333,480,3.4,950,1050,1150,1200,1280,1183.333333,1150,1176.666667,77.35,11565,93.39,4.87,12.39,23.58,62.04,63.2
06-11-2023,183,13.29,5.29,120,14.82,2.716666667,470,3.5,910,1010,1120,1170,1260,1200,1200,1170,85.78,10010,93.31,4.91,12.35,24.01,62.02,62.98
6/15/2023,187,13.2,4.66,340,14.08,2.663333333,173,3.7,916.6666667,1020,1120,1170,1250,1200,1206.666667,1170,86.37,10300,93.58,4.43,12.24,23.67,62.34,63.02
06-03-2023,195,13.79,5.8,0,13.02,2.9,466.8333333,3.55,910,1010,1120,1170,1260,1200,1200,1170,85.67,10515,93.38,5.16,12.4,23.35,62.44,63.07
06-02-2023,188,13.3,5.65,544.6666667,13.02,2.823333333,482.6666667,3.45,910,1010,1120,1170,1260,1200,1200,1170,85.87,11500,93.68,4.62,12.46,23.66,62.54,63.28
29-Apr,185,13.22,3.84,600,11,3.02,513.5,3.216666667,900,1000,1100,1180,1260,1200,1200,1170,84.11,13010,93.56,4.75,12.45,23.42,62.85,63.58
